date,symbol,title,country,impact,basis
2026-09-10,ADBE,Adobe Inc. (ADBE) earnings (estimated),United States,medium,"Estimated from 31 historical quarterly filings, ~91-day cadence, last actual report 2026-06-11."
2026-09-22,NKE,Nike Inc. (NKE) earnings (estimated),United States,medium,"Estimated from 42 historical quarterly filings, ~91-day cadence, last actual report 2026-06-23."
2026-09-30,PEP,PepsiCo Inc (PEP) earnings (estimated),United States,medium,"Estimated from 27 historical quarterly filings, ~83-day cadence, last actual report 2026-07-09."
2026-10-10,GS,Goldman Sachs Group Inc (GS) earnings (estimated),United States,medium,"Estimated from 3 historical quarterly filings, ~88-day cadence, last actual report 2026-07-14."
2026-10-13,JPM,JPMorgan Chase & Co (JPM) earnings (estimated),United States,medium,"Estimated from 3 historical quarterly filings, ~91-day cadence, last actual report 2026-07-14."
2026-10-13,BAC,Bank of America Corp (BAC) earnings (estimated),United States,medium,"Estimated from 3 historical quarterly filings, ~91-day cadence, last actual report 2026-07-14."
2026-10-13,WFC,Wells Fargo & Co (WFC) earnings (estimated),United States,medium,"Estimated from 3 historical quarterly filings, ~91-day cadence, last actual report 2026-07-14."
2026-10-14,JNJ,Johnson & Johnson (JNJ) earnings (estimated),United States,medium,"Estimated from 30 historical quarterly filings, ~91-day cadence, last actual report 2026-07-15."
2026-10-15,UNH,UnitedHealth Group Inc (UNH) earnings (estimated),United States,medium,"Estimated from 21 historical quarterly filings, ~91-day cadence, last actual report 2026-07-16."
2026-10-15,NFLX,Netflix Inc (NFLX) earnings (estimated),United States,high,"Estimated from 12 historical quarterly filings, ~91-day cadence, last actual report 2026-07-16."
2026-10-21,GOOGL,Alphabet Inc. (GOOGL) earnings (estimated),United States,high,"Estimated from 12 historical quarterly filings, ~91-day cadence, last actual report 2026-07-22."
2026-10-21,TXN,Texas Instruments Inc (TXN) earnings (estimated),United States,medium,"Estimated from 37 historical quarterly filings, ~91-day cadence, last actual report 2026-07-22."
2026-10-21,T,AT&T Inc. (T) earnings (estimated),United States,medium,"Estimated from 16 historical quarterly filings, ~91-day cadence, last actual report 2026-07-22."
2026-10-22,INTC,Intel Corp (INTC) earnings (estimated),United States,medium,"Estimated from 29 historical quarterly filings, ~91-day cadence, last actual report 2026-07-23."
2026-10-23,VZ,Verizon Communications Inc (VZ) earnings (estimated),United States,medium,"Estimated from 10 historical quarterly filings, ~91-day cadence, last actual report 2026-07-24."
2026-10-27,V,Visa Inc. (V) earnings (estimated),United States,medium,"Estimated from 44 historical quarterly filings, ~91-day cadence, last actual report 2026-07-28."
2026-10-27,KO,Coca-Cola Co (KO) earnings (estimated),United States,medium,"Estimated from 20 historical quarterly filings, ~91-day cadence, last actual report 2026-07-28."
2026-10-27,PYPL,PayPal Holdings Inc. (PYPL) earnings (estimated),United States,medium,"Estimated from 32 historical quarterly filings, ~91-day cadence, last actual report 2026-07-28."
2026-10-27,BA,Boeing Co (BA) earnings (estimated),United States,medium,"Estimated from 28 historical quarterly filings, ~91-day cadence, last actual report 2026-07-28."
2026-10-28,MSFT,Microsoft Corp (MSFT) earnings (estimated),United States,high,"Estimated from 24 historical quarterly filings, ~91-day cadence, last actual report 2026-07-29."
2026-10-28,META,Meta Platforms Inc (META) earnings (estimated),United States,high,"Estimated from 8 historical quarterly filings, ~91-day cadence, last actual report 2026-07-29."
