currency,rate,base,date
USD,1,USD,2026-07-23
AUD,1.43,USD,2026-07-23
BRL,5.0715,USD,2026-07-23
CAD,1.4075,USD,2026-07-23
CHF,0.81592,USD,2026-07-23
CNY,6.7703,USD,2026-07-23
CZK,21.232,USD,2026-07-23
DKK,6.5622,USD,2026-07-23
EUR,0.87781,USD,2026-07-23
GBP,0.74893,USD,2026-07-23
HKD,7.8413,USD,2026-07-23
HUF,319.92,USD,2026-07-23
IDR,17964,USD,2026-07-23
ILS,3.0727,USD,2026-07-23
INR,96.59,USD,2026-07-23
ISK,125.88,USD,2026-07-23
JPY,163.47,USD,2026-07-23
KRW,1472.72,USD,2026-07-23
MXN,17.4601,USD,2026-07-23
MYR,4.089,USD,2026-07-23
NOK,9.6142,USD,2026-07-23
NZD,1.7283,USD,2026-07-23
PHP,61.771,USD,2026-07-23
PLN,3.7983,USD,2026-07-23
RON,4.5953,USD,2026-07-23
SEK,9.7397,USD,2026-07-23
SGD,1.2913,USD,2026-07-23
THB,33.825,USD,2026-07-23
TRY,47.235,USD,2026-07-23
ZAR,16.4398,USD,2026-07-23
