start_month,end_month,length_months,left_censored
1854-12,1854-12,1,true
1857-07,1858-12,18,false
1860-11,1861-06,8,false
1865-05,1867-12,32,false
1869-07,1870-12,18,false
1873-11,1879-03,65,false
1882-04,1885-05,38,false
1887-04,1888-04,13,false
1890-08,1891-05,10,false
1893-02,1894-06,17,false
1896-01,1897-06,18,false
1899-07,1900-12,18,false
1902-10,1904-08,23,false
1907-06,1908-06,13,false
1910-02,1912-01,24,false
1913-02,1914-12,23,false
1918-09,1919-03,7,false
1920-02,1921-07,18,false
1923-06,1924-07,14,false
1926-11,1927-11,13,false
1929-09,1933-03,43,false
1937-06,1938-06,13,false
1945-03,1945-10,8,false
1948-12,1949-10,11,false
1953-08,1954-05,10,false
1957-09,1958-04,8,false
1960-05,1961-02,10,false
1970-01,1970-11,11,false
1973-12,1975-03,16,false
1980-02,1980-07,6,false
1981-08,1982-11,16,false
1990-08,1991-03,8,false
2001-04,2001-11,8,false
2008-01,2009-06,18,false
2020-03,2020-04,2,false
