category,label,bls_series,month,index_value
food,Food & beverages,CUUR0000SAF,1990-01,130
food,Food & beverages,CUUR0000SAF,1990-02,130.9
food,Food & beverages,CUUR0000SAF,1990-03,131.2
food,Food & beverages,CUUR0000SAF,1990-04,131
food,Food & beverages,CUUR0000SAF,1990-05,131.1
food,Food & beverages,CUUR0000SAF,1990-06,131.7
food,Food & beverages,CUUR0000SAF,1990-07,132.4
food,Food & beverages,CUUR0000SAF,1990-08,132.7
food,Food & beverages,CUUR0000SAF,1990-09,133
food,Food & beverages,CUUR0000SAF,1990-10,133.4
food,Food & beverages,CUUR0000SAF,1990-11,133.7
food,Food & beverages,CUUR0000SAF,1990-12,133.9
food,Food & beverages,CUUR0000SAF,1991-01,135.9
food,Food & beverages,CUUR0000SAF,1991-02,136
food,Food & beverages,CUUR0000SAF,1991-03,136.3
food,Food & beverages,CUUR0000SAF,1991-04,137.2
food,Food & beverages,CUUR0000SAF,1991-05,137.3
food,Food & beverages,CUUR0000SAF,1991-06,137.7
food,Food & beverages,CUUR0000SAF,1991-07,137.1
food,Food & beverages,CUUR0000SAF,1991-08,136.6
food,Food & beverages,CUUR0000SAF,1991-09,136.7
food,Food & beverages,CUUR0000SAF,1991-10,136.5
food,Food & beverages,CUUR0000SAF,1991-11,136.9
food,Food & beverages,CUUR0000SAF,1991-12,137.3
food,Food & beverages,CUUR0000SAF,1992-01,137.9
food,Food & beverages,CUUR0000SAF,1992-02,138.1
food,Food & beverages,CUUR0000SAF,1992-03,138.8
food,Food & beverages,CUUR0000SAF,1992-04,138.8
food,Food & beverages,CUUR0000SAF,1992-05,138.3
food,Food & beverages,CUUR0000SAF,1992-06,138.3
food,Food & beverages,CUUR0000SAF,1992-07,138.1
food,Food & beverages,CUUR0000SAF,1992-08,138.8
food,Food & beverages,CUUR0000SAF,1992-09,139.3
food,Food & beverages,CUUR0000SAF,1992-10,139.2
food,Food & beverages,CUUR0000SAF,1992-11,139.1
food,Food & beverages,CUUR0000SAF,1992-12,139.5
food,Food & beverages,CUUR0000SAF,1993-01,140.5
food,Food & beverages,CUUR0000SAF,1993-02,140.7
food,Food & beverages,CUUR0000SAF,1993-03,140.9
food,Food & beverages,CUUR0000SAF,1993-04,141.4
food,Food & beverages,CUUR0000SAF,1993-05,141.8
food,Food & beverages,CUUR0000SAF,1993-06,141.1
