period_from,period_to,fixed_rate,inflation_rate
1998-05,1998-10,0.034,0.0062
1998-11,1999-04,0.033,0.0086
1999-05,1999-10,0.033,0.0086
1999-11,2000-04,0.034,0.0176
2000-05,2000-10,0.036,0.0191
2000-11,2001-04,0.034,0.0152
2001-05,2001-10,0.03,0.0144
2001-11,2002-04,0.02,0.0119
2002-05,2002-10,0.02,0.0028
2002-11,2003-04,0.016,0.0123
2003-05,2003-10,0.011,0.0177
2003-11,2004-04,0.011,0.0054
2004-05,2004-10,0.01,0.0119
2004-11,2005-04,0.01,0.0133
2005-05,2005-10,0.012,0.0179
2005-11,2006-04,0.01,0.0285
2006-05,2006-10,0.014,0.005
2006-11,2007-04,0.014,0.0155
2007-05,2007-10,0.013,0.0121
2007-11,2008-04,0.012,0.0153
2008-05,2008-10,0,0.0242
2008-11,2009-04,0.007,0.0246
2009-05,2009-10,0.001,-0.0278
2009-11,2010-04,0.003,0.0153
2010-05,2010-10,0.002,0.0077
2010-11,2011-04,0,0.0037
2011-05,2011-10,0,0.023
2011-11,2012-04,0,0.0153
2012-05,2012-10,0,0.011
2012-11,2013-04,0,0.0088
2013-05,2013-10,0,0.0059
2013-11,2014-04,0.002,0.0059
2014-05,2014-10,0.001,0.0092
2014-11,2015-04,0,0.0074
2015-05,2015-10,0,-0.008
2015-11,2016-04,0.001,0.0077
2016-05,2016-10,0.001,0.0008
2016-11,2017-04,0,0.0138
2017-05,2017-10,0,0.0098
2017-11,2018-04,0.001,0.0124
2018-05,2018-10,0.003,0.0111
2018-11,2019-04,0.005,0.0116
2019-05,2019-10,0.005,0.007
2019-11,2020-04,0.002,0.0101
2020-05,2020-10,0,0.0053
2020-11,2021-04,0,0.0084
2021-05,2021-10,0,0.0177
2021-11,2022-04,0,0.0356
2022-05,2022-10,0,0.0481
2022-11,2023-04,0.004,0.0324
2023-05,2023-10,0.009,0.0169
2023-11,2024-04,0.013,0.0197
2024-05,2024-10,0.013,0.0148
2024-11,2025-04,0.012,0.0095
2025-05,2025-10,0.011,0.0143
2025-11,2026-04,0.009,0.0156
2026-05,2026-10,0.009,0.0167
