date,rate_pct
2021-01-07,2.65
2021-01-21,2.77
2021-02-04,2.73
2021-02-18,2.81
2021-03-04,3.02
2021-03-18,3.09
2021-04-01,3.18
2021-04-15,3.04
2021-04-29,2.98
2021-05-13,2.94
2021-05-27,2.95
2021-06-10,2.96
2021-06-24,3.02
2021-07-08,2.9
2021-07-22,2.78
2021-08-05,2.77
2021-08-19,2.86
2021-09-02,2.87
2021-09-16,2.86
2021-09-30,3.01
2021-10-14,3.05
2021-10-28,3.14
2021-11-10,2.98
2021-11-24,3.1
2021-12-09,3.1
2021-12-23,3.05
2022-01-06,3.22
2022-01-20,3.56
2022-02-03,3.55
2022-02-17,3.92
2022-03-03,3.76
2022-03-17,4.16
2022-03-31,4.67
2022-04-14,5
2022-04-28,5.1
2022-05-12,5.3
2022-05-26,5.1
2022-06-09,5.23
2022-06-23,5.81
2022-07-07,5.3
2022-07-21,5.54
2022-08-04,4.99
2022-08-18,5.13
2022-09-01,5.66
2022-09-15,6.02
2022-09-29,6.7
2022-10-13,6.92
2022-10-27,7.08
2022-11-10,7.08
2022-11-23,6.58
2022-12-08,6.33
2022-12-22,6.27
2023-01-05,6.48
2023-01-19,6.15
2023-02-02,6.09
2023-02-16,6.32
2023-03-02,6.65
2023-03-16,6.6
2023-03-30,6.32
2023-04-13,6.27
2023-04-27,6.43
2023-05-11,6.35
2023-05-25,6.57
2023-06-08,6.71
2023-06-22,6.67
2023-07-06,6.81
2023-07-20,6.78
2023-08-03,6.9
2023-08-17,7.09
2023-08-31,7.18
2023-09-14,7.18
2023-09-28,7.31
2023-10-12,7.57
2023-10-26,7.79
2023-11-09,7.5
2023-11-22,7.29
2023-12-07,7.03
2023-12-21,6.67
2024-01-04,6.62
2024-01-18,6.6
2024-02-01,6.63
2024-02-15,6.77
2024-02-29,6.94
2024-03-14,6.74
2024-03-28,6.79
2024-04-11,6.88
2024-04-25,7.17
2024-05-09,7.09
2024-05-23,6.94
2024-06-06,6.99
2024-06-20,6.87
2024-07-03,6.95
2024-07-18,6.77
2024-08-01,6.73
2024-08-15,6.49
2024-08-29,6.35
2024-09-12,6.2
2024-09-26,6.08
2024-10-10,6.32
2024-10-24,6.54
2024-11-07,6.79
2024-11-21,6.84
2024-12-05,6.69
2024-12-19,6.72
2025-01-02,6.91
2025-01-16,7.04
2025-01-30,6.95
2025-02-13,6.87
2025-02-27,6.76
2025-03-13,6.65
2025-03-27,6.65
2025-04-10,6.62
2025-04-24,6.81
2025-05-08,6.76
2025-05-22,6.86
2025-06-05,6.85
2025-06-18,6.81
2025-07-03,6.67
2025-07-17,6.75
2025-07-31,6.72
2025-08-14,6.58
2025-08-28,6.56
2025-09-11,6.35
2025-09-25,6.3
2025-10-09,6.3
2025-10-23,6.19
2025-11-06,6.22
2025-11-20,6.26
2025-12-04,6.19
2025-12-18,6.21
2025-12-31,6.15
2026-01-15,6.06
2026-01-29,6.1
2026-02-12,6.09
2026-02-26,5.98
2026-03-12,6.11
2026-03-26,6.38
2026-04-09,6.37
2026-04-23,6.23
2026-05-07,6.37
2026-05-21,6.51
2026-06-04,6.48
2026-06-18,6.47
2026-07-02,6.43
2026-07-16,6.55
2026-07-30,6.66
2026-08-13,6.67
2026-08-27,6.66
2026-09-10,6.76
